"﻿""カードID(内部ID)""",カードハッシュ,カードID(モバゲーID),カード名,カード別名,アイドルID(内部ID),アイドル名,属性,レアリティ,特訓後,身長,体重,バストサイズ,ウエストサイズ,ヒップサイズ,コスト,初期攻,初期守,最大攻(推定値),最大守(推定値),特技名,メイン特技効果,ダブル特技効果,アイプロ育成アイドル,フリートレード制限中,システム追加日時
11,af44062383e5a214b5b983e6a037feaa,2322802,[敏腕刑事]相川千夏+,,72,相川千夏,Cool,R+,True,161,43,82,56,85,13,3460,3260,9948,9373,ｷｬﾘｱｱｯﾌﾟ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
12,595943d4eb918aa66cfc1dd92fe8a8b8,2228901,[秋の学園祭]相川千夏,,72,相川千夏,Cool,R,False,161,43,82,56,85,13,2500,2480,6563,6510,ｵｰﾄﾇｼﾞｭﾈｽ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1～2人の攻守 大ﾀﾞｳﾝ,,False,False,2018/10/09 05:41:42
13,03c4a96c5302e9ed2e1d0ffa2cde0140,2328902,[秋の学園祭]相川千夏+,,72,相川千夏,Cool,R+,True,161,43,82,56,85,13,3000,2976,9939,9858,ｵｰﾄﾇｼﾞｭﾈｽ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 大ﾀﾞｳﾝ,,False,False,2018/10/09 05:41:42
14,7d5901bee5486fc6e44ed1b443937a66,2235201,[クリスマスホリデー]相川千夏,,72,相川千夏,Cool,R,False,161,43,82,56,85,14,2780,2700,7298,7088,ﾉｴﾙﾌｪｽﾀﾝ,ｷｭｰﾄ･ｸｰﾙのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位3人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
15,a0e5891e4f78600807fc8097aece12c6,2335202,[クリスマスホリデー]相川千夏+,,72,相川千夏,Cool,R+,True,161,43,82,56,85,14,3336,3240,11051,10733,ﾉｴﾙﾌｪｽﾀﾝ,ｷｭｰﾄ･ｸｰﾙのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位3～4人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
16,e49312f1ccff2590f53ba40e1fc8add1,2237501,[シュテルング・ルーフ]相川千夏,,72,相川千夏,Cool,R,False,161,43,82,56,85,13,2540,2420,6668,6353,召喚の呪法,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
17,a7dbd418bc296f71430e6ce136f7a406,2337502,[シュテルング・ルーフ]相川千夏+,,72,相川千夏,Cool,R+,True,161,43,82,56,85,13,3048,2904,10097,9621,召喚の呪法,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2～3人の攻守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
18,2e8a72447531178bd7c6b4af5ad3ac65,2411901,[ナイトエレガンス]相川千夏,,72,相川千夏,Cool,SR,False,161,43,82,56,85,17,4040,3960,10605,10395,夜想の歌,ｷｭｰﾄ･ｸｰﾙﾀｲﾌﾟの攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
19,6005f3a24b6f95a9e6ac20001fccf0a9,2511902,[ナイトエレガンス]相川千夏+,,72,相川千夏,Cool,SR+,True,161,43,82,56,85,17,4848,4752,16060,15742,夜想の歌,ｷｭｰﾄ･ｸｰﾙﾀｲﾌﾟの攻 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
20,d8b2e5540583e671da737c5c832509ce,2430501,[招福萬来]相川千夏,,72,相川千夏,Cool,SR,False,161,43,82,56,85,15,3420,2980,8978,7823,ﾏﾒ知識,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
21,38623ebf06937afb131651a871925ccd,2530502,[招福萬来]相川千夏+,,72,相川千夏,Cool,SR+,True,161,43,82,56,85,15,4104,3576,13595,11847,ﾏﾒ知識,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
22,b839d7f458db037366fcd9f57ea3137e,2439501,[モードリーブル]相川千夏,,72,相川千夏,Cool,SR,False,161,43,82,56,85,20,5220,4300,13703,11288,ﾌﾚｼｮﾜ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
23,4028037887d8707827e2a749bb925d5d,2539502,[モードリーブル]相川千夏+,,72,相川千夏,Cool,SR+,True,161,43,82,56,85,20,6264,5160,20751,17093,ﾌﾚｼｮﾜ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
24,63fd3fcbc361ec10820d32bf513be16e,3001101,愛野渚,,144,愛野渚,Passion,N,False,163,47,84,58,85,9,1020,780,2678,2048,ﾊﾟｯｼｮﾈｲﾄｱｸﾄ,,,False,False,2018/10/09 05:41:42
25,3353660bfbeee7d2f221c98611512242,3101102,愛野渚+,,144,愛野渚,Passion,N+,True,163,45,84,56,85,9,1224,936,4055,3101,ﾊﾟｯｼｮﾈｲﾄｱｸﾄ,,,False,False,2018/10/09 05:41:42
26,8f2beaf70b437880a985f8b8f79114a0,3208901,[明朗☆快活]愛野渚,,144,愛野渚,Passion,R,False,163,45,84,56,85,12,2400,1680,6300,4410,輝く汗,全ﾀｲﾌﾟの攻 ﾗﾝﾀﾞﾑで中～大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
27,d3d9f4a27caef8301249c341b4e19998,3308902,[明朗☆快活]愛野渚+,,144,愛野渚,Passion,R+,True,163,45,84,56,85,12,2880,2016,9540,6678,輝く汗,全ﾀｲﾌﾟの攻 ﾗﾝﾀﾞﾑで中～大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
28,dfbdd61be4ccdc68e525717d0bac2587,3213401,[スポーティスタイル]愛野渚,,144,愛野渚,Passion,R,False,163,45,84,56,85,11,1800,1820,4725,4778,ｽﾎﾟｰﾂﾏﾝｼｯﾌﾟ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
29,ceef2d2586809b80112bc40b23069aca,3313402,[スポーティスタイル]愛野渚+,,144,愛野渚,Passion,R+,True,163,45,84,56,85,11,2160,2184,7156,7235,ｽﾎﾟｰﾂﾏﾝｼｯﾌﾟ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
30,a598244c502625e88e206b64f2a6f248,3220201,[豪放の鬼人]愛野渚,,144,愛野渚,Passion,R,False,163,45,84,56,85,13,2440,2400,6405,6300,大将の心意気,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 ﾗﾝﾀﾞﾑで中～大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
31,8bbfb3b8fbec2518b6fb12050c9933f9,3320202,[豪放の鬼人]愛野渚+,,144,愛野渚,Passion,R+,True,163,45,84,56,85,13,2928,2880,9700,9540,大将の心意気,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
32,46dfaa3309c9fc33443b0cc627912f13,3222401,[エナジーフィール]愛野渚,,144,愛野渚,Passion,R,False,163,45,84,56,85,14,2140,3260,5618,8558,頼れる力,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
33,2b0e2716c03031eaaeb29a09d61e75aa,3322402,[エナジーフィール]愛野渚+,,144,愛野渚,Passion,R+,True,163,45,84,56,85,14,2568,3912,8507,12959,頼れる力,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
34,4e760adc4e6919f6f358270b34455820,3232201,[迎春神楽]愛野渚,,144,愛野渚,Passion,R,False,163,45,84,56,85,13,2920,2120,7665,5565,気分上昇,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
35,001d10686845cdce26772524579a982d,3332202,[迎春神楽]愛野渚+,,144,愛野渚,Passion,R+,True,163,45,84,56,85,13,3504,2544,11608,8428,気分上昇,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
36,4cc19efa10dfe9fb845c869111ecffd8,3234901,[ハツラツアルタイル]愛野渚,,144,愛野渚,Passion,R,False,163,45,84,56,85,14,2780,2640,7298,6930,ﾄﾘﾌﾟﾙｽﾚｯﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
37,e092985b904639eb233a44d64d7671b1,3334902,[ハツラツアルタイル]愛野渚+,,144,愛野渚,Passion,R+,True,163,45,84,56,85,14,3336,3168,11051,10494,ﾄﾘﾌﾟﾙｽﾚｯﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
38,e3ef28480de235db254f37fcb18ac320,3239301,[爽快プラクティス]愛野渚,,144,愛野渚,Passion,R,False,163,45,84,56,85,14,3300,2140,8663,5618,熱意のｻﾎﾟｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
39,ad7de2e7bd2dd2830cfe5dbf787d42a8,3339302,[爽快プラクティス]愛野渚+,,144,愛野渚,Passion,R+,True,163,45,84,56,85,14,3960,2568,13119,8507,熱意のｻﾎﾟｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2～3人の攻 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
40,868c92e18aa41e24a61546b2100548b5,3413401,[センター・キャプテン]愛野渚,,144,愛野渚,Passion,SR,False,163,45,84,56,85,17,4000,4040,10500,10605,ｻﾝｾｯﾄｼｭｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
41,701f66d34f5d7d58aa7d977ca3450565,3513402,[センター・キャプテン]愛野渚+,,144,愛野渚,Passion,SR+,True,163,45,84,56,85,17,4800,4848,15900,16060,ｻﾝｾｯﾄｼｭｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
42,13c7561bc0a40734ac98f74b94414a5c,3425601,[シューティングチアー]愛野渚,,144,愛野渚,Passion,SR,False,163,45,84,56,85,18,4440,4060,11655,10658,ﾄﾞ☆根性,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
43,82117663678e1ecd83cac4b74970f7e3,3525602,[シューティングチアー]愛野渚+,,144,愛野渚,Passion,SR+,True,163,45,84,56,85,18,5328,4872,17650,16139,ﾄﾞ☆根性,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
44,0b015e960d21bb82468304a236db2719,3432301,[ドリームアドベント]愛野渚,,144,愛野渚,Passion,SR,False,163,45,84,56,85,19,4340,4500,11393,11813,ｴﾅｼﾞｰｱﾀｯｸ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
45,b3c0ab815b7dae87ea9a636433655d89,3532302,[ドリームアドベント]愛野渚+,,144,愛野渚,Passion,SR+,True,163,45,84,56,85,19,5208,5400,17253,17889,ｴﾅｼﾞｰｱﾀｯｸ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
46,9d7e476fe2e98a3dc2096d1ecad5c1b2,3444201,[エナジー・ロワイヤル]愛野渚,,144,愛野渚,Passion,SR,False,163,45,84,56,85,20,5300,4260,13913,11183,底なしの体力,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
47,d55044e1ea0d54e182de47ba4ba68d6a,3544202,[エナジー・ロワイヤル]愛野渚+,,144,愛野渚,Passion,SR+,True,163,45,84,56,85,20,6360,5112,21069,16935,底なしの体力,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
48,af64f16df0293b28f4bd8fd8e213b98a,3200101,相葉夕美,,163,相葉夕美,Passion,R,False,158,42,81,57,80,5,660,640,1733,1680,ﾌﾘｰﾄｰｸ,ｷｭｰﾄﾀｲﾌﾟの攻 小ﾀﾞｳﾝ,,False,False,2018/10/09 05:41:43
49,4f7f75478ec8088e7b44680ccf69e601,3300102,相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,5,792,768,2625,2544,ﾌﾘｰﾄｰｸ,ｷｭｰﾄﾀｲﾌﾟの攻 小ﾀﾞｳﾝ,,False,False,2018/10/09 05:41:43
50,ea1c96b7284f8fbf531f1c7a17565d01,3204301,[フラワーブーケ]相葉夕美,,163,相葉夕美,Passion,R,False,158,42,81,57,80,12,2640,1760,6930,4620,花束のﾌﾟﾚｾﾞﾝﾄ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
51,7c983cf4f268272d5ff3fbc72e20477f,3304302,[フラワーブーケ]相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,12,3168,2112,10494,6996,花束のﾌﾟﾚｾﾞﾝﾄ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
52,91bf66e462541654840ad63b590f7a92,3206201,[ガーリースタイルブルー]相葉夕美,,163,相葉夕美,Passion,R,False,158,42,81,57,80,8,1000,1000,1000,1000,ｶﾗﾌﾙﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
53,cc13b2455d70284fa028ffbc71109f3c,3206202,[ガーリースタイルピンク]相葉夕美,,163,相葉夕美,Passion,R,False,158,42,81,57,80,8,1250,1150,1450,1350,ｶﾗﾌﾙﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
54,a004ebf66be0062d592367afaa9df9c6,3206203,[ガーリースタイルグリーン]相葉夕美,,163,相葉夕美,Passion,R,False,158,42,81,57,80,8,1300,1200,1545,1435,ｶﾗﾌﾙﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
55,e2d746d67b2f486c24276cfdd6c04b91,3206204,[ガーリースタイルホワイト]相葉夕美,,163,相葉夕美,Passion,R,False,158,42,81,57,80,8,1350,1250,1605,1494,ｶﾗﾌﾙﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
56,bc13d4418e9a47ce43493ee837c079f7,3306205,[スタイルセレクトヴァイオレット]相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,9,1650,1450,1911,1700,ﾌﾗﾜｰﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
57,a145b90c3b7a076a742f1243fc934c36,3306206,[スタイルセレクトピンク]相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,9,1720,1520,2012,1790,ﾌﾗﾜｰﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
58,88d68028d63bd897115d57cb468133a2,3306207,[スタイルセレクトグレー]相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,9,1780,1680,2082,1959,ﾌﾗﾜｰﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
59,b55a300ec52c0ede5b78a0870d2cfe53,3306208,[スタイルセレクトパープル]相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,9,1850,1650,2159,1946,ﾌﾗﾜｰﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
60,5de0ef2c7289a92299b5870d38c2e290,3306209,[スタイルセレクトホワイト]相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,9,1950,1750,2266,2045,ﾌﾗﾜｰﾊｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
61,6d85e7f52925d9aeb18f207ea86023de,3208001,[ニューイヤー]相葉夕美,,163,相葉夕美,Passion,R,False,158,42,81,57,80,11,2040,1340,5355,3518,ﾌﾗﾜｰｽﾀｲﾙ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
62,e387585b395a759ba2774b9a49921303,3308002,[ニューイヤー]相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,11,2448,1608,8109,5327,ﾌﾗﾜｰｽﾀｲﾙ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
63,95ba18994b3ce8e3813555db19788762,3237201,[クリスマスホリデー]相葉夕美,,163,相葉夕美,Passion,R,False,158,42,81,57,80,14,3260,2240,8558,5880,ﾊｯﾋﾟｰｴﾊﾞｰｸﾞﾘｰﾝ,ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位4人の攻 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
64,bbfc9a2a3da6610cc97d463a625d420a,3337202,[クリスマスホリデー]相葉夕美+,,163,相葉夕美,Passion,R+,True,158,42,81,57,80,14,3912,2688,12959,8904,ﾊｯﾋﾟｰｴﾊﾞｰｸﾞﾘｰﾝ,ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位4人の攻 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
65,142f146366609731aa64a5c2c2a1a912,3403101,[ムーンライトフラワー]相葉夕美,,163,相葉夕美,Passion,SR,False,158,42,81,57,80,10,2060,1940,5735,5398,ｽﾀｰﾗｲﾄﾌﾞｰｹ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
66,33f1fa5b1d518cf7c16da1d7d9090aa8,3503102,[ムーンライトフラワー]相葉夕美+,,163,相葉夕美,Passion,SR+,True,158,42,81,57,80,10,2472,2328,8255,7773,ｽﾀｰﾗｲﾄﾌﾞｰｹ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
67,9e89c636ff5da917444ca1cabe028fc9,3408001,[真夏のフラワーガール]相葉夕美,,163,相葉夕美,Passion,SR,False,158,42,81,57,80,18,4280,4280,11235,11235,ｻﾏｰﾌﾗﾜｰｼｬﾜｰ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
68,37589decfcf637e2c37feeee7ddc5ad8,3508002,[真夏のフラワーガール]相葉夕美+,,163,相葉夕美,Passion,SR+,True,158,42,81,57,80,18,5136,5136,17014,17014,ｻﾏｰﾌﾗﾜｰｼｬﾜｰ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:43
